variable,dtype,missing_values,n_unique
date,datetime64[ns],0,43
country,object,0,26
year,int32,0,11
quarter,int32,0,4
hpi,float64,0,1034
hpi_target_1q,float64,0,1035
hicp,float64,0,1007
inflation_yoy,float64,0,1112
unemployment_rate,float64,0,140
housing_overburden_rate,float64,0,120
ecb_main_refinancing_rate,float64,0,12
hpi_lag_1,float64,0,1032
hpi_lag_2,float64,0,1030
hpi_lag_4,float64,0,1028
hpi_qoq_growth,float64,0,1114
hpi_yoy_growth,float64,0,1118
hpi_rolling_mean_4,float64,0,1085
hpi_rolling_std_4,float64,0,1116
inflation_yoy_lag_1,float64,0,1112
inflation_yoy_lag_4,float64,0,1111
unemployment_rate_lag_1,float64,0,142
unemployment_rate_lag_4,float64,0,153
housing_overburden_rate_lag_1,float64,0,125
housing_overburden_rate_lag_4,float64,0,121
ecb_main_refinancing_rate_lag_1,float64,0,11
ecb_main_refinancing_rate_lag_4,float64,0,10
unemployment_change_1q,float64,0,96
inflation_change_1q,float64,0,1118
ecb_rate_change_1q,float64,0,10
hpi_target_1q_growth,float64,0,1114
