date,country,hpi,hicp,inflation_yoy,unemployment_rate,housing_overburden_rate,ecb_main_refinancing_rate
2014-01-01,Alemania,93.8,99.06666666666666,0.9510869565217517,4.8,15.9,0.25
2014-04-01,Alemania,95.7,99.2,0.9155645981688831,4.7,15.9,0.25
2014-07-01,Alemania,96.2,99.66666666666667,0.7751937984495916,4.6,15.9,0.15
2014-10-01,Alemania,96.2,99.33333333333333,0.43815301651499716,4.6,15.9,0.05
2015-01-01,Alemania,97.8,98.93333333333334,-0.13458950201883368,4.5,15.6,0.05
2015-04-01,Alemania,99.9,100.43333333333334,1.2432795698924748,4.4,15.6,0.05
2015-07-01,Alemania,100.4,100.73333333333333,1.070234113712365,4.2,15.6,0.05
2015-10-01,Alemania,101.8,99.86666666666667,0.5369127516778649,4.3,15.6,0.05
2016-01-01,Alemania,103.9,99.06666666666666,0.13477088948785632,4.0,15.8,0.05
2016-04-01,Alemania,106.9,100.33333333333333,-0.09956853634252028,4.0,15.8,0.0
2016-07-01,Alemania,108.8,101.13333333333333,0.3970880211780159,3.8,15.8,0.0
2016-10-01,Alemania,110.4,100.89999999999999,1.0347129506007802,3.7,15.8,0.0
2017-01-01,Alemania,110.9,100.83333333333333,1.7833109017496573,3.7,14.5,0.0
2017-04-01,Alemania,113.1,102.0,1.661129568106312,3.6,14.5,0.0
2017-07-01,Alemania,115.0,102.96666666666665,1.8127883981542414,3.5,14.5,0.0
2017-10-01,Alemania,117.3,102.46666666666665,1.5526924347538884,3.4,14.5,0.0
2018-01-01,Alemania,118.3,102.3,1.454545454545464,3.2,14.2,0.0
2018-04-01,Alemania,120.6,103.96666666666665,1.9281045751633918,3.3,14.2,0.0
2018-07-01,Alemania,123.1,105.23333333333333,2.201359663321467,3.1,14.2,0.0
2018-10-01,Alemania,124.6,104.66666666666667,2.1470396877033338,3.1,14.2,0.0
2019-01-01,Alemania,124.6,103.90000000000002,1.5640273704790042,3.0,13.9,0.0
2019-04-01,Alemania,127.8,105.7,1.6672010259698666,2.9,13.9,0.0
2019-07-01,Alemania,129.6,106.3,1.0136205258156394,2.9,13.9,0.0
2019-10-01,Alemania,132.7,105.89999999999999,1.178343949044569,3.0,13.9,0.0
2020-01-01,Alemania,133.8,105.53333333333335,1.5720243824189906,3.3,9.0,0.0
2020-04-01,Alemania,136.2,106.43333333333334,0.6937874487543461,3.6,9.0,0.0
2020-07-01,Alemania,140.3,106.13333333333333,-0.15678896205707504,3.9,9.0,0.0
2020-10-01,Alemania,144.3,105.26666666666667,-0.5980484734025793,3.7,9.0,0.0
2021-01-01,Alemania,146.3,107.36666666666667,1.7372078332280383,3.9,11.0,0.0
