STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2005-Q1,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2005-Q2,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2005-Q3,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2005-Q4,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2006-Q1,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2006-Q2,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2006-Q3,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2006-Q4,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2007-Q1,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2007-Q2,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2007-Q3,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2007-Q4,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2008-Q1,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2008-Q2,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2008-Q3,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2008-Q4,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2009-Q1,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2009-Q2,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2009-Q3,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2009-Q4,,,,,,N,not for publication
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2010-Q1,,75.05,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2010-Q2,,77.21,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2010-Q3,,78.19,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2010-Q4,,78.84,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2011-Q1,,78.96,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2011-Q2,,81.28,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2011-Q3,,82.59,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2011-Q4,,83.06,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2012-Q1,,85.30,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2012-Q2,,85.44,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2012-Q3,,88.71,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2012-Q4,,88.00,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2013-Q1,,89.06,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2013-Q2,,92.25,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2013-Q3,,91.79,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2013-Q4,,91.68,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2014-Q1,,92.89,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2014-Q2,,94.35,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2014-Q3,,95.32,,,,,
