STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2009-Q1,,5.2,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2009-Q2,,5.7,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2009-Q3,,6.1,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2009-Q4,,5.8,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2010-Q1,,5.4,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2010-Q2,,5.3,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2010-Q3,,5.1,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2010-Q4,,4.9,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2011-Q1,,5.2,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2011-Q2,,4.8,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2011-Q3,,4.3,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2011-Q4,,5.2,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2012-Q1,,4.9,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2012-Q2,,5.2,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2012-Q3,,5.4,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2012-Q4,,5.3,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2013-Q1,,5.9,,,,,
dataflow,ESTAT:UNE_RT_Q(1.0),Unemployment by sex and age - quarterly data,Q,Quarterly,SA,"Seasonally adjusted data, not calendar adjusted data",Y15-74,From 15 to 74 years,PC_ACT,Percentage of population in the labour force,T,Total,AT,Austria,2013-Q2,,5.5,,,,,
