date,country,hicp,inflation_yoy,unemployment_rate,housing_overburden_rate,ecb_main_refinancing_rate,forecast_origin,hpi,forecast_step,iso_alpha
2025-10-01,Alemania,132.5666666666667,2.1052631578947434,4.0,11.2,2.15,2025-07-01,155.62426065033168,1,DEU
2025-10-01,Austria,139.19,3.911907428144823,5.7,6.5,2.15,2025-07-01,169.79839892448106,1,AUT
2025-10-01,Bulgaria,143.32666666666668,3.652098449967456,3.7,6.9,2.15,2025-07-01,263.58819709987495,1,BGR
2025-10-01,Bélgica,135.3733333333333,2.633308061662865,6.2,6.7,2.15,2025-07-01,148.06947611281618,1,BEL
2025-10-01,Chequia,156.1,2.293577981651373,2.9,8.2,2.15,2025-07-01,255.41684701278047,1,CZE
2025-10-01,Chipre,119.39666666666666,0.0391006842619612,4.2,2.4,2.15,2025-07-01,155.55793904995454,1,CYP
2025-10-01,Croacia,139.69333333333336,4.602635782747622,4.5,3.2,2.15,2025-07-01,236.54179191307873,1,HRV
2025-10-01,Dinamarca,122.23333333333332,2.087973273942101,6.5,23.4,2.15,2025-07-01,157.11806183090704,1,DNK
2025-10-01,Eslovaquia,150.04666666666665,4.532998931772792,5.4,3.5,2.15,2025-07-01,213.82299388525345,1,SVK
2025-10-01,Eslovenia,131.98,2.884315559713113,4.1,3.5,2.15,2025-07-01,210.59320368347468,1,SVN
2025-10-01,España,126.96333333333332,2.812643398925685,10.5,7.2,2.15,2025-07-01,189.06274644402606,1,ESP
2025-10-01,Estonia,164.93,5.6837113930539696,7.4,8.8,2.15,2025-07-01,226.3316782955827,1,EST
2025-10-01,Finlandia,122.21,2.1452650934722595,9.9,4.7,2.15,2025-07-01,97.63129064716321,1,FIN
2025-10-01,Francia,125.15666666666668,0.9463637585697128,7.8,6.4,2.15,2025-07-01,129.55054958370187,1,FRA
2025-10-01,Hungría,174.74,4.222831921746395,4.5,5.3,2.15,2025-07-01,387.4197642866913,1,HUN
2025-10-01,Irlanda,122.53333333333336,2.054414214325395,4.9,5.3,2.15,2025-07-01,203.48089636633915,1,IRL
2025-10-01,Italia,124.23333333333332,1.7194323144104962,6.2,5.0,2.15,2025-07-01,118.35325846145338,1,ITA
