date,country,hpi,type,iso_alpha,date_str
2015-01-01,Alemania,97.8,Histórico,DEU,2015Q1
2015-04-01,Alemania,99.9,Histórico,DEU,2015Q2
2015-07-01,Alemania,100.4,Histórico,DEU,2015Q3
2015-10-01,Alemania,101.8,Histórico,DEU,2015Q4
2016-01-01,Alemania,103.9,Histórico,DEU,2016Q1
2016-04-01,Alemania,106.9,Histórico,DEU,2016Q2
2016-07-01,Alemania,108.8,Histórico,DEU,2016Q3
2016-10-01,Alemania,110.4,Histórico,DEU,2016Q4
2017-01-01,Alemania,110.9,Histórico,DEU,2017Q1
2017-04-01,Alemania,113.1,Histórico,DEU,2017Q2
2017-07-01,Alemania,115.0,Histórico,DEU,2017Q3
2017-10-01,Alemania,117.3,Histórico,DEU,2017Q4
2018-01-01,Alemania,118.3,Histórico,DEU,2018Q1
2018-04-01,Alemania,120.6,Histórico,DEU,2018Q2
2018-07-01,Alemania,123.1,Histórico,DEU,2018Q3
2018-10-01,Alemania,124.6,Histórico,DEU,2018Q4
2019-01-01,Alemania,124.6,Histórico,DEU,2019Q1
2019-04-01,Alemania,127.8,Histórico,DEU,2019Q2
2019-07-01,Alemania,129.6,Histórico,DEU,2019Q3
2019-10-01,Alemania,132.7,Histórico,DEU,2019Q4
2020-01-01,Alemania,133.8,Histórico,DEU,2020Q1
2020-04-01,Alemania,136.2,Histórico,DEU,2020Q2
2020-07-01,Alemania,140.3,Histórico,DEU,2020Q3
2020-10-01,Alemania,144.3,Histórico,DEU,2020Q4
2021-01-01,Alemania,146.3,Histórico,DEU,2021Q1
2021-04-01,Alemania,151.8,Histórico,DEU,2021Q2
2021-07-01,Alemania,158.2,Histórico,DEU,2021Q3
2021-10-01,Alemania,162.5,Histórico,DEU,2021Q4
2022-01-01,Alemania,164.1,Histórico,DEU,2022Q1
2022-04-01,Alemania,167.4,Histórico,DEU,2022Q2
2022-07-01,Alemania,166.3,Histórico,DEU,2022Q3
2022-10-01,Alemania,158.5,Histórico,DEU,2022Q4
2023-01-01,Alemania,153.7,Histórico,DEU,2023Q1
2023-04-01,Alemania,151.6,Histórico,DEU,2023Q2
2023-07-01,Alemania,149.3,Histórico,DEU,2023Q3
2023-10-01,Alemania,146.4,Histórico,DEU,2023Q4
2024-01-01,Alemania,145.8,Histórico,DEU,2024Q1
2024-04-01,Alemania,147.8,Histórico,DEU,2024Q2
2024-07-01,Alemania,149.0,Histórico,DEU,2024Q3
2024-10-01,Alemania,149.2,Histórico,DEU,2024Q4
2025-01-01,Alemania,150.9,Histórico,DEU,2025Q1
2025-04-01,Alemania,152.4,Histórico,DEU,2025Q2
2025-07-01,Alemania,153.6,Histórico,DEU,2025Q3
2015-01-01,Austria,98.19,Histórico,AUT,2015Q1
2015-04-01,Austria,99.97,Histórico,AUT,2015Q2
2015-07-01,Austria,101.23,Histórico,AUT,2015Q3
2015-10-01,Austria,100.61,Histórico,AUT,2015Q4
2016-01-01,Austria,104.04,Histórico,AUT,2016Q1
2016-04-01,Austria,106.7,Histórico,AUT,2016Q2
2016-07-01,Austria,108.08,Histórico,AUT,2016Q3
2016-10-01,Austria,108.0,Histórico,AUT,2016Q4
2017-01-01,Austria,109.76,Histórico,AUT,2017Q1
2017-04-01,Austria,112.46,Histórico,AUT,2017Q2
2017-07-01,Austria,113.67,Histórico,AUT,2017Q3
2017-10-01,Austria,112.65,Histórico,AUT,2017Q4
2018-01-01,Austria,115.13,Histórico,AUT,2018Q1
2018-04-01,Austria,118.94,Histórico,AUT,2018Q2
2018-07-01,Austria,120.1,Histórico,AUT,2018Q3
2018-10-01,Austria,121.15,Histórico,AUT,2018Q4
2019-01-01,Austria,121.53,Histórico,AUT,2019Q1
2019-04-01,Austria,125.79,Histórico,AUT,2019Q2
2019-07-01,Austria,127.81,Histórico,AUT,2019Q3
2019-10-01,Austria,128.74,Histórico,AUT,2019Q4
2020-01-01,Austria,131.26,Histórico,AUT,2020Q1
2020-04-01,Austria,134.09,Histórico,AUT,2020Q2
2020-07-01,Austria,138.0,Histórico,AUT,2020Q3
2020-10-01,Austria,138.71,Histórico,AUT,2020Q4
2021-01-01,Austria,144.08,Histórico,AUT,2021Q1
2021-04-01,Austria,149.12,Histórico,AUT,2021Q2
2021-07-01,Austria,153.52,Histórico,AUT,2021Q3
2021-10-01,Austria,157.34,Histórico,AUT,2021Q4
2022-01-01,Austria,164.63,Histórico,AUT,2022Q1
2022-04-01,Austria,169.43,Histórico,AUT,2022Q2
2022-07-01,Austria,173.59,Histórico,AUT,2022Q3
2022-10-01,Austria,166.32,Histórico,AUT,2022Q4
2023-01-01,Austria,164.35,Histórico,AUT,2023Q1
2023-04-01,Austria,164.68,Histórico,AUT,2023Q2
2023-07-01,Austria,164.29,Histórico,AUT,2023Q3
2023-10-01,Austria,161.4,Histórico,AUT,2023Q4
2024-01-01,Austria,159.54,Histórico,AUT,2024Q1
2024-04-01,Austria,164.34,Histórico,AUT,2024Q2
2024-07-01,Austria,165.13,Histórico,AUT,2024Q3
2024-10-01,Austria,163.23,Histórico,AUT,2024Q4
2025-01-01,Austria,165.17,Histórico,AUT,2025Q1
2025-04-01,Austria,166.95,Histórico,AUT,2025Q2
2025-07-01,Austria,167.87,Histórico,AUT,2025Q3
2015-01-01,Bulgaria,98.85,Histórico,BGR,2015Q1
2015-04-01,Bulgaria,99.71,Histórico,BGR,2015Q2
2015-07-01,Bulgaria,99.21,Histórico,BGR,2015Q3
2015-10-01,Bulgaria,102.23,Histórico,BGR,2015Q4
2016-01-01,Bulgaria,103.38,Histórico,BGR,2016Q1
2016-04-01,Bulgaria,106.24,Histórico,BGR,2016Q2
2016-07-01,Bulgaria,107.94,Histórico,BGR,2016Q3
2016-10-01,Bulgaria,110.52,Histórico,BGR,2016Q4
2017-01-01,Bulgaria,112.66,Histórico,BGR,2017Q1
2017-04-01,Bulgaria,115.37,Histórico,BGR,2017Q2
2017-07-01,Bulgaria,117.62,Histórico,BGR,2017Q3
2017-10-01,Bulgaria,119.53,Histórico,BGR,2017Q4
2018-01-01,Bulgaria,120.65,Histórico,BGR,2018Q1
2018-04-01,Bulgaria,124.03,Histórico,BGR,2018Q2
2018-07-01,Bulgaria,124.99,Histórico,BGR,2018Q3
