country,MAE,RMSE,sMAPE
Bélgica,1.4099917885039976,1.8995004792313712,1.0510003518695248
Francia,1.413501197477144,1.7552056056270204,1.1036823538421718
Finlandia,1.5633953038484905,2.150984585959678,1.4821303737293277
España,1.6321354312604024,2.167820650185296,1.1154662145856764
Italia,1.6332423156387974,2.3253596305489976,1.5263218929752478
Malta,1.6702840933343934,2.195169092648013,1.1214031914509561
Irlanda,1.7204435431387608,2.1497488108372456,1.0616380990965684
Rumanía,1.9462572610854771,2.461402289319914,1.352505646746269
Dinamarca,2.0527256932275337,2.4451570093291237,1.4765257918339496
Portugal,2.1388283729072146,2.6422707720910434,1.0460092065763054
Lituania,2.1695702326686304,2.8406553713206364,1.1753423148411484
Alemania,2.1796028601975443,3.037756556036219,1.3908670083628831
Austria,2.256449041864204,2.946517151977091,1.401070557349452
Suecia,2.3449314469835167,3.0273881008331087,1.7497811757664492
Croacia,2.351904222516999,3.108328449438,1.3543333706203375
Eslovaquia,2.35384075330397,2.760927688141256,1.3698547720917817
Países Bajos,2.3959602716348427,3.074334018598803,1.3156640381684548
Polonia,2.5410838533439852,3.181081644526892,1.3910353488622207
Bulgaria,2.605544561017576,3.8101209533884273,1.4280680025815593
Chequia,2.923350075782254,4.320754864216377,1.4916007981969859
Eslovenia,3.0330791388593306,3.807737643105554,1.6542041676691783
Luxemburgo,3.3125769260650832,4.691928768744127,1.939239149070349
Letonia,3.7758835478969757,4.607197769548176,2.086394945636815
Chipre,3.9151844484421865,5.23071314723362,3.042694699757651
Estonia,4.414515464139735,5.228925305078765,2.468577989507656
Hungría,7.770992405483021,9.642970183138672,2.975457641215066
